0.1: 2.5 9.8 (639912), -7 (6) 270
0.2: 2.9 11.7 (640000), -20 (0) 270
0.3: 3.0 11.2 (639972), 0 (3) 0 180
0.4: 2.4 10.7 (640000), 4 (5) 90
0.5: 2.4 9.6 (640000), 9 (4) 90
0.6: 2.0 8.0 (638366), -1 (2) 326 214
0.7: 2.0 6.0 (171484), -15 (9) 270
0.8: 2.0 4.0 (62), -31 (22) 270
0.9: 2.0 2.0 (170), 28 (59) 90
1.0: 2.0 2.3 (12669), -177 (42) 270
1.3: 2.0 2.0 (2), -90 (0) 270
1.4: 2.0 2.0 (255), 23 (81) 90
1.5: 2.0 2.0 (105), 23 (19) 90
1.6: 2.0 2.0 (198), 0 (4) 0 180
1.7: 2.0 2.0 (68), 0 (0) 0 180
1.8: 2.0 2.0 (1), -63 (0) 270
1.9: 2.0 2.0 (2), -90 (0) 270
2.0: 2.0 2.1 (140), -179 (33) 270
2.1: 2.0 2.0 (8), -180 (0) 270
2.2: 2.0 2.0 (2), -180 (0) 270
2.4: 2.0 2.1 (18), -136 (50) 270
2.5: 2.0 2.0 (10), -90 (0) 270
2.6: 2.0 2.0 (16), -100 (13) 270
2.7: 2.0 2.0 (6), -147 (42) 270
2.8: 2.0 2.0 (2), -117 (0) 270
2.9: 2.0 2.0 (2), -153 (0) 270
3.0: 2.0 2.0 (2), -90 (0) 270
3.3: 2.0 2.0 (34), -159 (17) 270
3.4: 2.0 2.0 (27), -164 (19) 270
3.5: 2.0 2.0 (6), -180 (0) 270
4.1: 2.0 2.3 (303), -170 (20) 270
4.2: 2.0 2.2 (588), -171 (14) 270
4.3: 2.0 2.1 (516), -172 (14) 270
4.4: 2.0 2.0 (306), -175 (11) 270
4.5: 2.1 2.0 (320), -174 (13) 270
4.6: 2.0 2.0 (110), -166 (24) 270
4.7: 2.0 2.0 (71), -142 (32) 270
4.8: 2.0 2.0 (59), -123 (35) 270
4.9: 2.0 2.0 (104), -123 (30) 270
5.0: 2.0 2.2 (198), -98 (24) 270
5.1: 2.2 2.6 (855), -108 (25) 270
5.2: 2.0 3.2 (351), -102 (19) 270
5.5: 2.0 3.0 (6), -147 (8) 270
