0.1: 2.1 9.5 (637908), -8 (5) 270
0.2: 2.3 11.2 (639943), 10 (0) 90
0.3: 2.9 11.0 (636478), 19 (0) 90
0.4: 2.0 10.4 (639704), 2 (4) 90
0.5: 2.0 9.2 (639552), -158 (0) 270
0.6: 2.0 7.9 (596099), -1 (3) 326 214
0.7: 2.1 5.7 (52400), -13 (25) 270
0.8: 2.7 4.0 (11397), 0 (85) 0 180
0.9: 2.1 2.6 (4202), -176 (91) 270
1.0: 2.2 2.7 (78600), -180 (34) 270
1.1: 3.5 3.4 (15647), -180 (6) 270
1.2: 3.6 3.6 (14087), -180 (19) 270
1.3: 2.5 3.5 (9900), -180 (44) 270
1.4: 2.0 2.3 (1124), 178 (86) 90
1.5: 2.0 2.1 (59), -3 (62) 318 222
1.6: 2.0 2.0 (244), 1 (16) 12 168
1.7: 2.0 2.2 (20), 30 (63) 90
1.8: 2.0 2.0 (2), -90 (0) 270
2.0: 2.0 2.1 (288), -165 (43) 270
2.1: 2.0 2.1 (18), -180 (0) 270
2.2: 2.0 2.0 (44), -180 (8) 270
2.3: 2.0 2.0 (2), -180 (0) 270
2.5: 2.0 2.3 (6), -138 (50) 270
2.6: 2.0 2.0 (22), -100 (13) 270
3.0: 2.0 3.0 (2), -162 (0) 270
3.1: 2.0 2.2 (57), -176 (15) 270
3.2: 2.0 2.3 (285), -175 (12) 270
3.3: 2.0 2.2 (689), -176 (11) 270
3.4: 2.0 2.1 (162), -177 (12) 270
3.5: 2.0 2.3 (217), 179 (21) 90
3.6: 2.0 2.3 (6), -165 (35) 270
3.8: 2.0 2.0 (6), -162 (13) 270
4.1: 2.0 2.1 (41), 178 (18) 90
4.2: 2.0 2.0 (109), -177 (16) 270
4.3: 2.0 2.0 (125), -174 (15) 270
4.4: 2.2 2.0 (77), -168 (18) 270
4.5: 2.0 2.0 (49), -160 (20) 270
4.6: 2.1 2.0 (23), -155 (27) 270
4.7: 2.0 2.0 (30), -144 (37) 270
4.8: 2.0 2.1 (28), -117 (34) 270
4.9: 2.0 2.2 (48), -99 (28) 270
5.0: 2.0 2.5 (67), -93 (23) 270
5.1: 2.0 2.8 (260), -95 (25) 270
5.2: 2.0 3.4 (9), -109 (22) 270
5.5: 2.0 3.0 (125), -157 (24) 270
5.6: 2.2 3.8 (1429), -153 (20) 270
5.7: 2.5 3.6 (2819), -143 (24) 270
5.8: 3.2 3.7 (3886), -118 (28) 270
5.9: 4.4 5.2 (5168), -78 (29) 270
6.0: 3.8 8.3 (5160), -43 (24) 270
6.1: 2.5 10.0 (3358), -28 (24) 270
6.2: 2.0 10.6 (440), -12 (34) 320 220
6.3: 2.0 10.1 (154), 21 (31) 90
6.4: 2.0 8.6 (341), 43 (33) 90
6.5: 2.1 7.7 (1327), 64 (23) 90
6.6: 2.5 6.4 (3386), 82 (19) 90
6.7: 2.9 5.8 (4168), 96 (17) 90
6.8: 3.6 5.8 (5326), 111 (16) 90
6.9: 3.0 4.3 (4676), 121 (18) 90
7.0: 2.0 2.4 (87), 127 (34) 90
7.1: 2.0 2.3 (13), 150 (24) 90
7.2: 2.0 2.0 (4), -180 (0) 270
7.3: 2.0 2.0 (15), 168 (22) 90
7.4: 2.4 2.9 (2328), 169 (14) 90
7.5: 2.3 2.9 (2001), 173 (12) 90
7.6: 2.1 3.0 (1534), 175 (12) 90
7.7: 2.1 3.2 (873), 172 (13) 90
7.8: 2.1 3.3 (1460), 167 (15) 90
7.9: 2.0 2.1 (26385), -178 (13) 270
8.0: 2.5 3.0 (2515), 166 (16) 90
8.1: 2.8 3.2 (2959), 177 (14) 90
8.2: 3.1 4.0 (4209), -175 (13) 270
8.3: 3.0 4.6 (3566), -174 (12) 270
8.4: 3.0 5.2 (4135), -177 (11) 270
8.5: 2.7 4.9 (3360), 178 (11) 90
8.6: 2.6 4.6 (3529), 170 (12) 90
8.7: 2.6 3.8 (2893), 163 (15) 90
8.8: 3.0 3.4 (4075), 167 (13) 90
8.9: 3.4 3.4 (3645), 178 (12) 90
9.0: 3.7 3.7 (4618), -172 (13) 270
9.1: 3.4 3.4 (3726), -162 (21) 270
9.2: 2.8 3.2 (2752), -141 (28) 270
9.3: 2.3 3.1 (1107), -161 (56) 270
9.4: 2.4 3.8 (1695), 138 (40) 90
9.5: 2.9 4.1 (3335), 141 (27) 90
9.6: 3.9 4.8 (4918), 146 (18) 90
9.7: 5.0 5.6 (5949), 158 (13) 90
9.8: 6.8 7.6 (6426), 165 (9) 90
9.9: 8.6 9.9 (6651), 169 (7) 90
10.0: 8.0 9.5 (6619), 172 (7) 90
10.1: 2.3 2.6 (32394), 173 (13) 90
10.2: 6.7 8.3 (6367), 176 (7) 90
10.3: 17.6 21.7 (6918), 176 (3) 90
10.4: 20.6 25.4 (6941), 177 (3) 90
10.5: 23.4 28.9 (6951), 179 (3) 90
10.6: 24.2 30.0 (6933), 179 (2) 90
10.7: 23.3 29.1 (6946), -180 (2) 270
10.8: 18.9 23.8 (6925), -179 (3) 270
10.9: 18.0 22.9 (6997), -178 (3) 270
11.0: 12.3 15.8 (8514), -178 (5) 270
11.1: 13.0 17.1 (7254), -177 (4) 270
11.2: 11.1 14.8 (6795), -177 (5) 270
11.3: 10.9 14.9 (6738), -177 (4) 270
11.4: 9.1 12.6 (6634), -178 (5) 270
11.5: 9.1 12.6 (6812), -179 (5) 270
11.6: 8.4 11.4 (6680), -179 (5) 270
11.7: 9.0 12.1 (6741), -179 (5) 270
11.8: 8.5 11.4 (6654), -178 (4) 270
11.9: 9.6 12.8 (6701), -178 (4) 270
12.0: 8.6 11.5 (6571), -178 (5) 270
12.1: 10.2 13.5 (6749), -178 (4) 270
12.2: 9.6 12.6 (6502), -177 (5) 270
12.3: 11.1 14.5 (6689), -177 (4) 270
12.4: 10.3 13.4 (6307), -176 (5) 270
12.5: 12.0 15.7 (6691), -174 (5) 270
12.6: 10.6 14.2 (6348), -173 (5) 270
12.7: 11.8 16.3 (6716), -173 (4) 270
12.8: 11.1 15.7 (6503), -173 (5) 270
12.9: 12.2 17.7 (6758), -175 (4) 270
13.0: 11.1 16.3 (6738), -176 (5) 270
13.1: 13.1 19.1 (6834), -178 (4) 270
13.2: 11.8 16.9 (6769), -179 (4) 270
13.3: 13.7 19.0 (6850), -180 (4) 270
13.4: 13.3 18.0 (6842), -180 (4) 270
13.5: 14.9 19.9 (6872), -180 (4) 270
13.6: 13.6 17.8 (6879), -180 (4) 270
13.7: 14.1 18.2 (6861), -179 (4) 270
13.8: 12.4 15.8 (6858), -179 (4) 270
13.9: 10.5 13.4 (6626), -178 (5) 270
14.0: 3.4 4.4 (4712), -179 (9) 270
14.1: 2.7 3.5 (3361), -178 (10) 270
14.2: 2.6 3.2 (2641), -177 (11) 270
14.3: 2.6 3.3 (2612), -178 (12) 270
14.4: 3.8 4.8 (5425), -178 (10) 270
14.5: 8.3 10.2 (6416), -178 (6) 270
14.6: 7.4 9.1 (6581), -178 (7) 270
14.7: 6.8 8.2 (6489), -179 (8) 270
14.8: 6.7 7.7 (6449), 179 (8) 90
