0.1: 2.2 9.6 (639161), 167 (0) 90
0.2: 2.5 11.3 (639982), 13 (0) 90
0.3: 2.9 11.1 (638879), 0 (4) 0 180
0.4: 2.1 10.5 (639954), -60 (0) 270
0.5: 2.1 9.3 (639961), -103 (0) 270
0.6: 2.0 8.0 (621240), -1 (3) 326 214
0.7: 2.0 5.9 (69307), -16 (8) 270
0.8: 2.0 4.0 (27), -21 (33) 270
0.9: 2.0 2.0 (84), 16 (70) 90
1.0: 2.0 2.6 (66343), -179 (36) 270
1.1: 2.0 2.0 (2), -180 (0) 270
1.3: 2.0 2.0 (6), 30 (85) 90
1.4: 2.0 2.0 (255), 14 (87) 90
1.5: 2.0 2.0 (43), 11 (33) 90
1.6: 2.0 2.0 (54), 0 (0) 0 180
1.7: 2.0 2.0 (1), 0 (0) 0 180
2.0: 2.0 2.1 (301), -166 (39) 270
2.1: 2.0 2.5 (4), -166 (13) 270
2.2: 2.0 2.0 (6), -180 (0) 270
2.3: 2.0 2.0 (2), -180 (0) 270
2.6: 2.0 2.0 (2), -117 (0) 270
3.1: 2.0 2.3 (73), -175 (17) 270
3.2: 2.0 2.1 (519), -176 (12) 270
3.3: 2.1 2.1 (1204), -178 (9) 270
3.4: 2.0 2.2 (256), -178 (14) 270
3.5: 2.0 2.6 (89), -178 (18) 270
3.6: 2.1 3.0 (7), -168 (16) 270
3.7: 2.0 2.0 (8), 175 (39) 90
3.8: 2.0 2.0 (2), -153 (0) 270
4.0: 2.0 2.5 (4), -166 (13) 270
4.1: 2.0 2.2 (25), -176 (21) 270
4.2: 2.0 2.0 (164), 178 (15) 90
4.3: 2.0 2.0 (164), -180 (8) 270
4.4: 2.1 2.0 (151), -177 (10) 270
4.5: 2.0 2.0 (150), -176 (12) 270
4.6: 2.0 2.0 (70), -174 (16) 270
4.7: 2.0 2.0 (78), -162 (28) 270
4.8: 2.0 2.0 (48), -127 (38) 270
4.9: 2.0 2.0 (92), -113 (29) 270
5.0: 2.0 2.2 (123), -118 (34) 270
5.1: 2.0 2.4 (146), -89 (23) 270
5.2: 2.0 3.0 (23), -85 (29) 270
5.5: 2.0 2.5 (4), -90 (90) 270
5.6: 2.0 2.9 (25), 89 (67) 90
5.7: 2.2 4.2 (2455), 65 (43) 90
