0.1: 2.6 9.8 (639960), -7 (6) 270
0.2: 3.0 11.8 (640000), -40 (0) 270
0.3: 3.1 11.4 (639995), 19 (0) 90
0.4: 2.7 10.8 (640000), 23 (0) 90
0.5: 2.5 9.7 (640000), 8 (5) 90
0.6: 2.0 8.0 (639713), 68 (0) 90
0.7: 2.0 6.0 (244189), -77 (0) 270
0.8: 2.0 4.0 (323), -27 (21) 270
0.9: 2.0 2.1 (155), 30 (54) 90
1.0: 2.0 2.5 (14297), -173 (41) 270
1.1: 2.0 2.0 (6), -180 (0) 270
1.3: 2.0 2.0 (6), 90 (0) 90
1.4: 2.0 2.0 (923), 12 (84) 90
1.5: 2.0 2.0 (455), 20 (22) 90
1.6: 2.0 2.0 (241), 1 (5) 12 168
1.7: 2.0 2.0 (52), -2 (10) 337 203
2.0: 2.0 2.2 (126), -162 (45) 270
2.1: 2.0 2.3 (6), -180 (0) 270
2.2: 2.0 2.0 (7), -172 (12) 270
3.0: 2.0 2.0 (2), -117 (0) 270
3.1: 2.0 2.2 (10), -173 (23) 270
3.2: 2.0 2.6 (198), -174 (13) 270
3.3: 2.1 2.0 (776), 173 (13) 90
3.4: 2.0 2.2 (698), 176 (15) 90
3.5: 2.0 2.4 (865), -180 (24) 270
3.6: 2.0 2.4 (191), -160 (41) 270
3.7: 2.0 2.2 (74), -171 (35) 270
3.8: 2.0 2.2 (110), -171 (38) 270
3.9: 2.0 2.2 (52), -163 (33) 270
4.0: 2.0 2.2 (35), -165 (35) 270
4.1: 2.1 2.3 (511), 173 (21) 90
4.2: 2.2 2.1 (709), 173 (16) 90
4.3: 2.2 2.1 (530), -180 (15) 270
4.4: 2.3 2.0 (341), -175 (13) 270
4.5: 2.2 2.1 (429), -167 (19) 270
4.6: 2.1 2.2 (125), -153 (29) 270
4.7: 2.0 2.1 (102), -139 (36) 270
4.8: 2.0 2.1 (75), -132 (36) 270
4.9: 2.0 2.3 (130), -110 (29) 270
5.0: 2.0 2.5 (147), -81 (37) 270
5.1: 2.1 2.8 (841), -99 (59) 270
5.2: 2.0 3.0 (198), -47 (59) 270
5.3: 2.0 2.2 (167), 6 (19) 22 158
5.4: 2.0 2.3 (1076), 13 (23) 53 127
5.5: 2.4 3.2 (10306), 17 (22) 90
5.6: 3.0 3.1 (34304), 14 (21) 56 124
5.7: 3.7 2.9 (22048), 22 (31) 90
5.8: 3.4 2.3 (10089), 60 (52) 90
5.9: 3.9 2.4 (204239), 74 (66) 90
6.0: 3.9 3.0 (267561), 74 (80) 90
6.1: 3.0 3.2 (233319), 130 (45) 90
6.2: 2.4 2.2 (48769), 125 (29) 90
6.3: 3.0 3.2 (3678), 172 (18) 90
6.4: 2.5 3.0 (2546), 173 (16) 90
6.5: 2.3 2.8 (1611), 170 (15) 90
6.6: 2.5 3.2 (3407), 168 (14) 90
6.7: 3.0 4.0 (4225), 169 (13) 90
6.8: 3.2 4.3 (4669), 168 (13) 90
6.9: 2.6 3.5 (3707), 167 (16) 90
7.0: 2.0 2.3 (138), 179 (22) 90
7.1: 2.0 2.3 (3003), -180 (18) 270
7.2: 2.5 3.3 (185282), 174 (26) 90
7.3: 2.5 3.2 (181294), -179 (24) 270
7.4: 5.6 9.1 (551811), -167 (27) 270
7.5: 2.0 2.6 (45955), -176 (15) 270
7.6: 2.0 2.4 (167), 171 (14) 90
7.7: 2.0 2.3 (169), 166 (16) 90
7.8: 2.1 2.5 (693), 162 (17) 90
7.9: 2.1 2.4 (728), 163 (19) 90
8.0: 2.4 2.5 (1564), 164 (17) 90
8.1: 2.7 2.8 (2359), 171 (17) 90
8.2: 3.2 3.4 (4210), 175 (13) 90
8.3: 3.4 3.8 (4135), 178 (11) 90
8.4: 3.5 4.1 (6208), 179 (10) 90
8.5: 3.5 4.6 (64577), 179 (16) 90
8.6: 2.5 3.0 (23283), 169 (18) 90
8.7: 3.0 3.9 (4123), 173 (10) 90
8.8: 3.0 3.6 (4452), 170 (11) 90
8.9: 3.0 3.2 (3983), 172 (11) 90
9.0: 3.1 3.2 (5940), 175 (11) 90
9.1: 2.4 2.5 (16469), 175 (14) 90
9.2: 2.2 2.4 (38466), 175 (15) 90
9.3: 2.4 2.7 (150238), 175 (14) 90
9.4: 5.9 6.7 (553270), 174 (9) 90
9.5: 10.8 12.3 (613924), 177 (9) 90
9.6: 4.0 4.4 (466935), 177 (10) 90
