0.1: 2.2 9.6 (638812), 170 (0) 90
0.2: 2.5 11.4 (639988), 14 (0) 90
0.3: 2.9 11.1 (637973), 13 (0) 90
0.4: 2.1 10.5 (639907), 170 (0) 90
0.5: 2.1 9.3 (639926), -98 (0) 270
0.6: 2.0 8.0 (614581), 70 (0) 90
0.7: 2.0 5.9 (65309), -16 (8) 270
0.8: 2.0 4.0 (6), -27 (13) 270
0.9: 2.0 2.0 (4), 63 (0) 90
1.0: 2.0 2.5 (8320), -170 (38) 270
1.3: 2.0 2.0 (2), 90 (0) 90
1.4: 2.0 2.0 (262), 41 (76) 90
1.5: 2.0 2.0 (41), 19 (33) 90
1.6: 2.0 2.0 (22), 2 (8) 25 155
1.7: 2.0 2.0 (2), 0 (0) 0 180
2.0: 2.0 2.3 (12), 169 (38) 90
3.2: 2.0 2.8 (214), 178 (17) 90
3.3: 2.1 2.0 (343), 167 (15) 90
3.4: 2.0 2.0 (93), 165 (21) 90
4.1: 2.0 2.2 (312), 166 (24) 90
4.2: 2.1 2.1 (524), 167 (17) 90
4.3: 2.1 2.0 (420), 176 (15) 90
4.4: 2.1 2.0 (167), -177 (10) 270
4.5: 2.0 2.0 (232), -172 (15) 270
4.6: 2.0 2.1 (136), -127 (36) 270
4.7: 2.0 2.0 (22), -126 (36) 270
4.8: 2.2 2.0 (8), -90 (0) 270
4.9: 2.0 2.0 (26), -73 (45) 270
5.0: 2.1 2.1 (34), -52 (40) 270
5.1: 2.1 2.4 (601), -17 (45) 270
5.2: 2.1 2.7 (3537), -3 (19) 349 191
5.3: 2.0 2.0 (1919), 3 (12) 11 169
5.4: 2.2 2.0 (8518), 5 (13) 18 162
5.5: 3.3 2.2 (7526), 15 (20) 65 115
5.6: 5.5 2.2 (1577), 43 (26) 90
5.7: 4.0 2.0 (435), 125 (41) 90
5.8: 3.5 2.2 (1638), 156 (34) 90
5.9: 2.9 2.5 (106331), 121 (69) 90
6.0: 3.2 3.3 (286050), 152 (64) 90
6.1: 2.6 3.1 (122694), 149 (36) 90
6.2: 2.3 2.5 (4218), 146 (35) 90
6.3: 2.2 2.7 (1896), 171 (16) 90
6.4: 2.1 2.8 (1186), 171 (16) 90
6.5: 2.1 2.7 (1005), 159 (20) 90
6.6: 2.0 3.1 (352), 168 (14) 90
6.7: 2.0 3.4 (500), 164 (15) 90
6.8: 2.0 3.2 (240), 145 (20) 90
6.9: 2.0 2.1 (51), 149 (29) 90
7.0: 2.0 2.0 (6), -180 (0) 270
7.1: 2.0 2.3 (6), -180 (0) 270
7.2: 2.2 3.2 (112779), -171 (21) 270
7.3: 2.1 2.6 (48774), -164 (25) 270
7.4: 3.0 4.4 (330514), -169 (35) 270
7.5: 2.0 2.6 (10123), 176 (22) 90
7.6: 2.0 2.5 (535), 168 (15) 90
7.7: 2.0 2.4 (598), 162 (16) 90
7.8: 2.2 2.4 (1435), 161 (17) 90
7.9: 2.3 2.4 (1192), 163 (17) 90
8.0: 2.5 2.5 (1885), 168 (16) 90
8.1: 2.7 2.8 (2197), 173 (16) 90
8.2: 2.9 3.2 (3773), 176 (13) 90
8.3: 2.9 3.5 (3257), 175 (12) 90
8.4: 3.2 3.8 (4361), 175 (10) 90
8.5: 3.0 3.7 (3829), 175 (10) 90
8.6: 3.1 3.9 (4613), 174 (9) 90
8.7: 2.8 3.6 (3555), 173 (9) 90
8.8: 3.0 3.7 (4371), 171 (9) 90
8.9: 3.0 3.6 (3737), 172 (10) 90
9.0: 3.2 3.7 (4893), 174 (11) 90
9.1: 2.2 2.5 (21250), 174 (14) 90
9.2: 2.2 2.7 (21888), 176 (14) 90
9.3: 2.2 3.0 (136334), 176 (14) 90
9.4: 5.3 6.9 (568354), 175 (9) 90
9.5: 7.7 11.5 (598139), 172 (11) 90
9.6: 3.6 5.0 (464181), 175 (10) 90
9.7: 3.7 5.7 (478006), 172 (10) 90
9.8: 2.6 3.8 (281304), 179 (10) 90
9.9: 2.4 3.5 (125312), 178 (10) 90
