Date;Time;Periode [s];Energy [Ws];Reactive Energy L[Vars];Reactive Energy C[Vars];Iac L1 [A];Iac L2 [A];Iac L3 [A];Udc MPPT1[V];Idc MPPT1[A];Udc MPPT2[V];Idc MPPT2[A]
2015-12-20;11:47:18;1800e0;440387e0;31e0;1288e0;57e-2;39e-2;65e-2;3572e-1;49e-2;3512e-1;31e-2
2015-12-20;12:17:18;1800e0;519745e0;74e0;1940e0;61e-2;45e-2;68e-2;3606e-1;56e-2;3528e-1;36e-2
2015-12-20;12:47:18;1800e0;398147e0;31e0;954e0;55e-2;36e-2;63e-2;3558e-1;45e-2;3485e-1;27e-2
2015-12-20;10:17:18;1800e0;438048e0;55e0;1474e0;57e-2;39e-2;65e-2;3559e-1;48e-2;3506e-1;32e-2
2015-12-20;10:47:18;1800e0;135342e0;12e0;165e0;35e-2;9e-2;14e-2;3437e-1;19e-2;3364e-1;12e-2
2015-12-20;11:17:17;1800e0;64879e0;0e0;136e0;14e-2;7e-2;0e-2;3492e-1;14e-2;3400e-1;9e-2
2015-12-21;10:20:00;1800e0;303339e0;54e0;924e0;44e-2;26e-2;36e-2;3499e-1;31e-2;3448e-1;27e-2
2015-12-21;10:50:00;1800e0;943530e0;106e0;3089e0;92e-2;79e-2;89e-2;3574e-1;74e-2;3538e-1;80e-2
2015-12-21;11:20:00;1800e0;1941232e0;347e0;6991e0;162e-2;162e-2;166e-2;3716e-1;144e-2;3716e-1;163e-2
2015-12-21;11:50:00;1800e0;5951057e0;1545e0;20765e0;464e-2;478e-2;468e-2;3781e-1;427e-2;3764e-1;503e-2
2015-12-21;12:20:00;1800e0;2980107e0;650e0;10428e0;237e-2;241e-2;240e-2;3730e-1;226e-2;3705e-1;244e-2
2015-12-21;12:50:00;1800e0;1601169e0;259e0;5722e0;139e-2;132e-2;142e-2;3645e-1;133e-2;3609e-1;123e-2
2015-12-21;13:20:00;1800e0;119957e0;6e0;197e0;24e-2;10e-2;9e-2;3415e-1;17e-2;3334e-1;11e-2
2015-12-21;13:50:00;1800e0;135051e0;6e0;321e0;27e-2;13e-2;17e-2;3435e-1;18e-2;3384e-1;12e-2
2015-12-21;14:20:00;1800e0;389036e0;52e0;1322e0;51e-2;35e-2;49e-2;3524e-1;38e-2;3505e-1;32e-2
2015-12-22;09:20:00;1800e0;931565e0;68e0;3405e0;88e-2;80e-2;92e-2;3692e-1;71e-2;3712e-1;82e-2
2015-12-22;09:50:00;1800e0;1134607e0;161e0;4029e0;101e-2;97e-2;105e-2;3731e-1;90e-2;3734e-1;93e-2
2015-12-22;10:20:00;1800e0;1535889e0;105e0;5401e0;129e-2;128e-2;133e-2;3772e-1;122e-2;3759e-1;121e-2
2015-12-22;10:50:00;1800e0;380931e0;29e0;1159e0;54e-2;35e-2;62e-2;3574e-1;42e-2;3507e-1;27e-2
2015-12-22;11:20:00;1800e0;413072e0;85e0;1448e0;55e-2;37e-2;63e-2;3588e-1;45e-2;3520e-1;29e-2
2015-12-22;11:50:00;1800e0;290546e0;20e0;1152e0;50e-2;27e-2;57e-2;3547e-1;34e-2;3468e-1;21e-2
2015-12-22;12:20:00;1800e0;216881e0;24e0;686e0;47e-2;20e-2;50e-2;3524e-1;29e-2;3450e-1;17e-2
